Timestamp,Јас сум моментално запишан/а на додипломски студии во Македонија.,На кој унивезитет сте запишани?,Јас сум запишан/а на:,Колку години сте?,Кој е твојот биолошки пол? (пол назначен на раѓање),Која е вашата тековна академска година на студирање? Ова е засновано на бројот на кредити кои ги имате завршено.   ,"Која е вашата вистинска година на студирање, врз основа на бројот на календарски години кои сте ги поминале во постсредна институција?   ",Која е вашата струка/ програма на која студирате,Дали сте редовен или вонреден студент?,Дали ова ќе биде вашата прва додипломска диплома?,Дали Вие се индетификувате како студент со попреченост?,Кои се Вашите моментални услови на живеење?,Дали сте интернационален студент?,Дали сте моментално вработени?,Дали учествувате во хуманиратрна работа или студентски организации?,Кои се Вашите планови после дипломирање?,Ве молиме селектирајте го само овошјето.,Колку часа неделно поминувате  на спортски настани како учесник?,Колку часа неделно поминувате на одење на забави?,"Колку часа неделно  поминувате на играње на видео игри, друштвени игри со пријатели?",Колку часа неделно поминувате на гледање онлајн рекретивни видеа како на Netflix или YouTube?,Колку часа неделно поминувате на учество во студентски организации и истражување?,Колку часа неделно поминувате во учење?,"Колку часа неделно поминувате во користење студентски акомодации како библиотека, читална, онлајн алатки  ?","Напорно вежбање (Брзо чукање на срцето)
( на пр., трчање, фудбал, кошарка, скијање на крос кантри, џудо, ролерско лизгање, енергично пливање, енергичен велосипед на долго растојание)","Умерено вежбање (Не исцрпувачко) (на пр., брзо одење, тенис, лесен велосипедизам, одбојка, бадминтон, лесно пливање, алпско скијање, популарен и народен танц)","Лесно вежбање (минимални напори) 
(на пример, јога, стрелаштво, риболов од брегот на реката, куглање, голф, лесно пешачење) ","Кога вежбате, дали се занимавате првенствено со аеробни или анаеробни вежби?",Склон/а сум да го прескокнам спиењето со цел да се дружам подолго.,Обично ги бирам учењето како поважна активност од мојето спиење.,Во минатото не сум создал/a време за соодветен сон во мојот распоред. ,Често избирам други активности наместо да си легнам порано. ,Спијам помалку за да имам повеќе часови во текот на денот за да завршам работа. ,Колку часа спиете во просечна ноќ?,Дали се чувствувате добро одморени кога се будите?,"Приклучување на нови групи (на пр. спортски, хоби, каматни групи)",Вложувате напор да се видите со пријателите и/или семејството кои не сте ги виделе/слушнале одамна,Да ги искористите одењето на факултет како можност да стекнете нови пријатели,Поканувате пријатели и/или семејтво во вашиот дом,Организирате денско/ вечерно дружење/забава со вашите пријатели и/или семејство,Барате емоционална поддршка од  вашите пријатели и/или семејство,"Присуствувате на социјални настани организирани од вашата работа, универзиет или заедница",Секогаш сте отворени за нови пријателства,Учествувате во активности со пријатели и/или колеги каде не е активноста поврзана со учење,Кога се чувствувам тажно се јавувам или посетувам пријатели и/или семејство,Се трудам да напаравм баланс помеѓу учењето и социјалниот живот,Користам социјални мрежи за да се „поврзам“ со пријатели,Тешко ми е да се релаксирам,Тешко ми е да чувствувам среќа или позитивни чувства.,Имам осетено потешкотии со дишењето (на пр. прекумерно брзо дишење),Имам потешкотии да се мотивирам да правам работи,Обично знам да претерам со реакција во одредени ситуации,Чувствував дека користам многу нервозна енергија,Се грижам за ситуации каде што би можел/а да испаничам или да се засрамам,Се чувствувам дека немам што да очекувам во иднината,"Нетолерантен/а сум на било што, што може да ми одвлече вниманието од тоа што ми е било планирано да правам",Тешко ми е да бидам ентузијастичен/а за било што,Се чувствував како да не вредам како личност,Се чувствував исплашено без посебна причина,Се чувствував дека животот нема смисла,"Дали си официјално дијагностициран/а со некое специфично ментално здравје/психолошко/психијатриско нарушување од страна на здравствен лекар? Ако е така, ве молам наведете"
4/24/2024 12:31:30,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4+ годишни студии,18-24,Женско,3 Година,3 Година,Медицина,Редовен студент,Да.,Не,Студентски дом/ Интернат,Не,Не.,Не,Започнување кариера/ вработување,"Јаболко, Банана",11-15 часа,6-10 часа,3-5 часа,6-10 часа,Помалку од 1 час,Помалку од 1 час,Помалку од 1 час,4,3,2,"Анаеробна вежба - вежба која бара максимален физички напор кој може да се одржи само за кратки временски периоди (на пр, спринтање, кревање тежина)",3,2,2,4,4,6 часа,Некогаш,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,2,3,3,4,3,3,Не
5/9/2024 15:35:39,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4 годишни студии,18-24,Женско,4 Година,4 Година,Информатика,Редовен студент,Да.,Не,Самостојно со пријатели/ цимери,Не,Не.,Не,Започнување кариера/ вработување,"Јаболко, Банана",Помалку од 1 час,1-2 часа,Помалку од 1 час,6-10 часа,Помалку од 1 час,3-5 часа,6-10 часа,2,2,6,И двете,4,4,5,3,2,8 часа,Некогаш,2,4,5,5,5,5,2,5,5,2,4,3,3,3,2,5,4,3,5,3,1,4,2,3,3,Не
5/9/2024 15:45:40,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4+ годишни студии,18-24,Женско,3 Година,3 Година,Медицина,Редовен студент,Да.,Не,Самостојно со пријатели/ цимери,Не,Не.,Не,Започнување кариера/ вработување,"Јаболко, Банана",Помалку од 1 час,Помалку од 1 час,Помалку од 1 час,1-2 часа,Помалку од 1 час,Повеќе од 20 часа,3-5 часа,1,3,1,"Аеробна вежба - вежба каде што го движите вашето тело подолго време на одржлив начин (на пр, трчање, пешачење, велосипедизам, пливање во лента).",3,5,5,5,5,5 часа,Не,2,4,5,5,3,3,2,4,4,3,2,5,4,4,5,4,5,5,5,5,5,4,5,5,5,Не
5/9/2024 15:46:53,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4 годишни студии,18-24,Женско,3 Година,3 Година,Психологија,Редовен студент,Да.,Не,Самостојно со пријатели/ цимери,Не,Не.,Не,Започнување кариера/ вработување,Јаболко,Помалку од 1 час,6-10 часа,Помалку од 1 час,3-5 часа,Помалку од 1 час,6-10 часа,Помалку од 1 час,1,1,1,"Аеробна вежба - вежба каде што го движите вашето тело подолго време на одржлив начин (на пр, трчање, пешачење, велосипедизам, пливање во лента).",3,3,3,3,3,6 часа,Не,4,3,5,5,4,5,2,5,4,4,4,3,3,3,3,4,4,4,4,2,3,3,3,3,3,Не
5/9/2024 15:48:12,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4 годишни студии,18-24,Женско,4 Година,4 Година,Информатика,Редовен студент,Да.,Не,Самостојно со пријатели/ цимери,Не,Не.,"Да, помеѓу 1-5 часа неделно.",Започнување кариера/ вработување,"Јаболко, Банана",Помалку од 1 час,Помалку од 1 час,Помалку од 1 час,16-20 часа,Помалку од 1 час,6-10 часа,3-5 часа,4,4,5,И двете,5,5,5,5,5,8 часа,Некогаш,2,4,5,3,3,5,3,5,5,3,5,5,5,3,5,5,5,5,5,4,5,3,3,5,3,"ADHD, анксиозност "
5/9/2024 15:49:46,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4+ годишни студии,18-24,Женско,3 Година,3 Година,Медицина,Редовен студент,Да.,Не,Самостојно со пријатели/ цимери,Не,Не.,Не,"Да продолжам со студирање, Магистарска/ Докторска ппрограма","Јаболко, Банана",Помалку од 1 час,3-5 часа,Помалку од 1 час,1-2 часа,Помалку од 1 час,3-5 часа,6-10 часа,2,5,5,"Аеробна вежба - вежба каде што го движите вашето тело подолго време на одржлив начин (на пр, трчање, пешачење, велосипедизам, пливање во лента).",1,2,1,4,2,8 часа,Не,1,5,5,5,5,4,1,5,3,5,4,5,4,3,1,5,5,4,5,5,4,2,4,5,3,Не
5/9/2024 15:52:12,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4 годишни студии,18-24,Женско,4 Година,4 Година,Информатика,Редовен студент,Да.,Не,Самостојно со пријатели/ цимери,Не,Не.,Не,"Да продолжам со студирање, Магистарска/ Докторска ппрограма","Јаболко, Банана",1-2 часа,1-2 часа,Помалку од 1 час,16-20 часа,1-2 часа,16-20 часа,Помалку од 1 час,3,2,5,"Анаеробна вежба - вежба која бара максимален физички напор кој може да се одржи само за кратки временски периоди (на пр, спринтање, кревање тежина)",4,4,3,4,4,7 часа,Некогаш,4,3,4,4,3,5,3,2,3,4,2,3,5,4,4,1,3,4,5,3,4,4,2,5,2,Не
5/9/2024 15:54:04,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4+ годишни студии,18-24,Женско,2 Година,2 Година,Медицина,Редовен студент,Да.,Не,Со фамилијата,Не,Не.,Не,Започнување кариера/ вработување,"Јаболко, Банана",1-2 часа,1-2 часа,Помалку од 1 час,1-2 часа,Помалку од 1 час,11-15 часа,11-15 часа,1,2,3,"Аеробна вежба - вежба каде што го движите вашето тело подолго време на одржлив начин (на пр, трчање, пешачење, велосипедизам, пливање во лента).",1,1,1,1,2,7 часа,Некогаш,2,5,5,5,5,5,4,5,5,5,5,5,2,3,4,1,3,3,3,4,3,1,4,4,4,Не
5/9/2024 15:54:11,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4 годишни студии,18-24,Машко,3 Година,3 Година,Машински,Редовен студент,Да.,Не,Студентски дом/ Интернат,Не,Не.,Не,Неодлучено,"Јаболко, Банана",Помалку од 1 час,3-5 часа,3-5 часа,1-2 часа,Помалку од 1 час,Повеќе од 20 часа,6-10 часа,3,4,1,И двете,1,1,5,5,3,7 часа,Некогаш,5,5,3,2,3,3,3,3,3,3,3,3,5,5,5,4,4,4,3,5,4,3,3,3,3,Не
5/9/2024 15:56:08,Да,"Св. Кирил и Методиј Универзитет (УКИМ), Скопје",4+ годишни студии,18-24,Машко,4 Година,4 Година,Медицина,Редовен студент,Да.,Не,Целосно самостојно,Не,Не.,"Да, помеѓу 1-5 часа неделно.","Да продолжам со студирање, Магистарска/ Докторска ппрограма","Јаболко, Банана",Помалку од 1 час,Помалку од 1 час,Помалку од 1 час,6-10 часа,1-2 часа,Повеќе од 20 часа,3-5 часа,1,3,7,"Аеробна вежба - вежба каде што го движите вашето тело подолго време на одржлив начин (на пр, трчање, пешачење, велосипедизам, пливање во лента).",1,1,1,1,1,7 часа,Да,2,4,3,2,4,5,5,5,3,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,Не
